ring,vertex,east_km,north_km
0,265,5.296028580029686,-4.819182807320879
0,266,5.2723686730679615,-4.894355865337848
0,267,5.176127752277407,-4.914578323139012
0,268,5.346110717719697,-4.93058890910334
0,269,5.416369046862587,-5.02297653534967
0,270,5.402435656892718,-5.247593345493229
0,271,5.239862787136145,-5.418461746485418
0,272,4.924725545321747,-5.292552617435725
0,273,4.620478056458622,-5.297375291954599
0,274,4.367478316606078,-5.394888567946643
0,275,4.259184942044976,-5.30311019523446
0,276,4.024043905963233,-5.419045089757826
0,277,3.93754941307543,-5.588717288329174
0,278,3.822300251848789,-5.609250471987898
0,279,3.5820587880252432,-5.500877793650552
0,280,3.5699966000534107,-5.388872328009852
0,281,3.440366048732622,-5.33483922860075
0,282,3.3367011046474735,-5.16819570480172
0,283,3.106199037434058,-5.209272442119122
0,284,3.067010042915586,-5.2285976055394086
0,285,3.098091391029576,-5.3402988514929035
0,286,3.0686523483211863,-5.509064937270256
0,287,3.1245391581923543,-5.526872453343992
0,288,3.148187328087074,-5.451696738087795
0,289,3.2409460462855892,-5.487615883678527
0,290,3.193649063529342,-5.6379671099661
0,291,3.136604458697351,-5.638877366251153
0,292,3.153784512097397,-5.975195709150636
0,293,2.780932078801496,-6.168145421795496
0,294,2.5907905974439673,-6.171185217339641
0,295,1.9034634358143225,-5.920400426999204
0,296,1.5813756425439174,-5.906870635253537
0,297,1.4540560366247512,-5.815418708071118
0,298,1.2829259361539262,-5.8181697613323395
0,299,1.2356497387427323,-5.968525824177858
0,300,1.2551831133477762,-6.267403181553322
0,301,0.8783724726487788,-6.21736935181866
0,302,0.7418093511030492,-6.275667919077743
0,303,0.6548265882947791,-6.14617394111171
0,304,0.48485597160645544,-6.130215769954649
0,305,0.30049011076375215,-6.039694321061056
0,306,0.3500661969885826,-5.851899849751951
0,307,0.23713507549371815,-5.8350239659620655
0,308,0.13629084159978092,-5.930150009408355
0,309,0.06023412919105425,-5.931379076921503
0,310,0.02566897376826447,-5.875839608859074
0,311,0.03836742458864368,-5.669941095694434
0,312,-0.10913160767085683,-5.597528606282689
0,313,-0.26124814412988673,-5.599989830354938
0,314,-0.5314682723286176,-5.361274267747544
0,315,-0.6467107644378092,-5.381841398321747
0,316,-0.6778192798722951,-5.270149746896427
0,317,-0.8287853143395396,-5.253898906945207
0,318,-0.896772383692288,-5.124106862950719
0,319,-1.0598368870779942,-4.995858969341425
0,320,-1.1958187311887334,-4.73627787687444
0,321,-1.5098629880672754,-4.5917902484904936
0,322,-1.9103440715825508,-4.61701120698432
0,323,-1.9696947238494211,-4.655377090727143
0,324,-2.405900799402435,-4.6437951391483
0,325,-2.542463040846894,-4.702123533575648
0,326,-2.8288453092612964,-4.725504846444398
0,327,-3.139451857425377,-4.524898405018804
0,328,-3.6194406328265805,-4.6075648109663625
0,329,-3.6955024196284727,-4.608813305666345
0,330,-3.711068707566383,-4.552971494812559
0,331,-3.803847026349611,-4.517096782289655
0,332,-4.2244866036434185,-4.561409537484765
0,333,-4.327089809110664,-4.376107126336868
0,334,-4.532815937039251,-4.323397504349978
0,335,-4.612962926706769,-4.081630283740498
0,336,-4.684432958592539,-4.008012058022556
0,337,-4.66082276659093,-3.9328266763913153
0,338,-4.83082007371142,-3.916930720523693
0,339,-4.91901181221113,-3.8061914956976124
0,340,-5.16507590997767,-3.791554785781695
0,341,-5.257366230490385,-3.4377984065700073
0,342,-5.56917686871424,-3.255964456662356
0,343,-5.746727528693802,-3.053214698885301
0,344,-5.723121595578983,-2.9780279906240836
0,345,-5.788866804620093,-2.8108261112845425
0,346,-5.780837035947293,-2.679800456807089
0,347,-5.9542896058163866,-2.7200721006825797
0,348,-6.014782816116373,-2.7771716259408175
0,349,-6.1669227683294014,-2.7796944917849897
0,350,-6.276441659786357,-2.7067158676621146
0,351,-6.353658296530831,-2.7266964006222763
0,352,-6.653819415969769,-2.9747677889226853
0,353,-6.691853779921225,-2.975399942132859
0,354,-6.6872698577616045,-2.9005281659951367
0,355,-7.0417244176341285,-2.794230793450688
0,356,-7.076322674138082,-2.7387101472946
0,357,-7.0233956424006525,-2.494743818146734
0,358,-7.055703569627154,-2.401787326534523
0,359,-7.313937111825916,-2.275196737568534
0,360,-7.475939110108607,-2.1283068535615115
0,361,-7.609066197557347,-2.1305276080787183
0,362,-7.568295764278164,-1.7745698124609566
0,363,-7.648506887951023,-1.5328237995333507
0,364,-7.547687928619945,-1.437647347598839
0,365,-7.542664480252871,-1.0448885821047733
0,366,-7.65678159489594,-1.046793095131965
0,367,-7.660478993832056,-0.48589109824503174
0,368,-7.518178103509422,-0.33392569215014667
0,369,-7.402910428143456,-0.3133039557076775
0,370,-7.300936966837851,-0.19941069857905483
0,371,-6.92052401625825,-0.1930731934023837
0,372,-6.801816707559062,-0.11630221159186624
0,373,-6.574713233496144,-0.13122394860946207
0,374,-6.514212353906018,-0.07412173768697983
0,375,-6.426666155236626,0.11432162145037382
0,376,-6.453927723504765,0.6000387310681307
0,377,-6.134673619908874,0.8484261168960768
0,378,-6.1410828952025085,1.0540071819815091
0,379,-6.064993531350727,1.0552700218575461
0,380,-6.144052691458462,1.3157418465631847
0,381,-6.29508752029131,1.3319326830321712
0,382,-6.412662355495546,1.2738827341431842
0,383,-6.740861432231721,1.8106905102945068
0,384,-6.69250169933317,1.9797844770490498
