question,sortie,drone,delivery_horizontal_kwh,delivery_climb_kwh,return_horizontal_kwh,return_climb_kwh,total_kwh
Q2,Q2-018,A,1.0908266430057667,0.12265593953549396,1.0817576805996747,0.02576874305090492,2.3210090061918405
Q2,Q2-019,A,1.5443899307555418,0.07514631557370186,1.4542398807819257,0.02701616021801396,3.1007922873291833
Q2,Q2-020,C,2.5735933693342465,0.09406570982648237,2.373748198857387,0.04494240792577662,5.086349685943892
Q2,Q2-021,A,0.9057067196149244,0.08011632858084078,0.8729166338187805,0.012575090226870408,1.871314772241416
Q2,Q2-022,B,0.7263944714176284,0.0850491070182586,0.6835249294659695,0.020666511573340565,1.515635019475197
Q2,Q2-023,B,1.1251961194602582,0.050060680284285015,1.0587905448791264,0.02199885281448894,2.2560461974381587
Q2,Q2-024,C,2.857749394806274,0.10941919891676785,2.373748198857387,0.04494240792577662,5.385859200506205
Q2,Q2-025,A,1.5872743009094106,0.07792951244680194,1.4542398807819257,0.02701616021801396,3.146459854356152
Q2,Q2-026,A,1.5660474072759298,0.15110103236808212,1.3074888541978689,0.0591398869098263,3.083777180751707
Q2,Q2-027,A,1.472643583370905,0.14288901973938198,1.3074888541978689,0.0591398869098263,2.982161344217982
Q2,Q2-028,B,1.3534223426249905,0.13960421468790196,1.0376895668237054,0.05491560927341013,2.585631733410008
Q2,Q2-029,C,4.300407775334521,0.316982699956627,1.6247979597279143,0.03475315252254769,6.27694158754161
Q2,Q2-030,B,0.6884467535405325,0.10613255202266941,0.6478167678458576,0.0402018031581861,1.4825978765672456
Q2,Q2-031,A,1.012160664260165,0.13700289671076174,0.9755165339895145,0.06381252660800792,2.1884926215684493
Q2,Q2-032,C,2.5136809019150355,0.07041488088943175,2.4858801380887616,0.026977565703416796,5.096953486596646
Q2,Q2-033,A,1.0374595323928184,0.06315193034610325,0.9505068064408299,0.03480287090956134,2.085921140089313
Q2,Q2-034,A,0.524446132354551,0.0494782453542342,0.505459154226937,0.022051050359450444,1.1014345822951725
Q2,Q2-035,B,0.47331464260338607,0.06403926549513382,0.45517126462154855,0.012615315262536645,1.0051404879826051
Q2,Q2-036,B,0.40666949545548525,0.043134880565229815,0.40115805891026746,0.020475975333775414,0.871438410264758
