panel,segment,from,to,row,col,t_enter,t_exit,elevation_m,point_contact,distance_enter_m,distance_exit_m
2,1,O01,S014,784,797,0.43939940691476653,0.44466584552357624,278.2004699707031,False,2381.341035947452,2409.882691159311
2,1,O01,S014,784,798,0.44466584552357624,0.449932284132386,266.50946044921875,False,2409.882691159311,2438.4243463711705
2,1,O01,S014,784,799,0.449932284132386,0.45519872274119577,260.88983154296875,False,2438.4243463711705,2466.9660015830295
2,1,O01,S014,784,800,0.45519872274119577,0.4604651613500055,261.6959533691406,False,2466.9660015830295,2495.5076567948886
2,1,O01,S014,784,801,0.4604651613500055,0.46573159995881525,263.59564208984375,False,2495.5076567948886,2524.0493120067476
2,1,O01,S014,784,802,0.46573159995881525,0.470998038567625,270.6304016113281,False,2524.0493120067476,2552.590967218607
2,1,O01,S014,784,803,0.470998038567625,0.4762644771764347,286.0662841796875,False,2552.590967218607,2581.1326224304657
2,1,O01,S014,784,804,0.4762644771764347,0.4815309157852445,303.6142883300781,False,2581.1326224304657,2609.6742776423253
2,1,O01,S014,784,805,0.4815309157852445,0.4867973543940542,316.97393798828125,False,2609.6742776423253,2638.215932854184
2,1,O01,S014,784,806,0.4867973543940542,0.49206379300286396,335.844970703125,False,2638.215932854184,2666.7575880660434
2,1,O01,S014,784,807,0.49206379300286396,0.4973302316116737,349.4792175292969,False,2666.7575880660434,2695.2992432779024
2,1,O01,S014,784,808,0.4973302316116737,0.5025966702204835,355.21295166015625,False,2695.2992432779024,2723.840898489762
2,1,O01,S014,784,809,0.5025966702204835,0.5078631088292932,357.3052978515625,False,2723.840898489762,2752.3825537016205
2,1,O01,S014,784,810,0.5078631088292932,0.5131295474381029,365.0150146484375,False,2752.3825537016205,2780.9242089134796
2,1,O01,S014,784,811,0.5131295474381029,0.5163780969889877,378.45465087890625,False,2780.9242089134796,2798.5298411266594
2,1,O01,S014,785,811,0.5163780969889877,0.5183959860469127,369.0889892578125,False,2798.5298411266594,2809.465864125339
2,1,O01,S014,785,812,0.5183959860469127,0.5236624246557224,387.9398193359375,False,2809.465864125339,2838.007519337198
2,1,O01,S014,785,813,0.5236624246557224,0.5289288632645321,405.0333557128906,False,2838.007519337198,2866.549174549057
2,1,O01,S014,785,814,0.5289288632645321,0.534195301873342,399.0369567871094,False,2866.549174549057,2895.0908297609167
2,1,O01,S014,785,815,0.534195301873342,0.5394617404821517,387.4132385253906,False,2895.0908297609167,2923.6324849727757
2,1,O01,S014,785,816,0.5394617404821517,0.5447281790909614,378.9989929199219,False,2923.6324849727757,2952.1741401846343
2,1,O01,S014,785,817,0.5447281790909614,0.5499946176997712,371.8008117675781,False,2952.1741401846343,2980.715795396494
2,1,O01,S014,785,818,0.5499946176997712,0.5552610563085809,363.44561767578125,False,2980.715795396494,3009.257450608353
2,1,O01,S014,785,819,0.5552610563085809,0.5605274949173906,354.20245361328125,False,3009.257450608353,3037.799105820212
2,1,O01,S014,785,820,0.5605274949173906,0.5657939335262004,342.8380126953125,False,3037.799105820212,3066.3407610320714
2,1,O01,S014,785,821,0.5657939335262004,0.5710603721350102,345.7016906738281,False,3066.3407610320714,3094.8824162439305
