方案,阶段,种子,轮次,目标,状态,候选数,当前值（整数单位）,求解器界限（整数单位）,本层条件最优,整个前缀已证最优,用时s
及时性优先,局部组批重排,0,37,加权逾期,当前模型已证最优,166,0,0.0,是,是,4.2032534
及时性优先,局部组批重排,0,37,最后返航,可行，未证最优,166,8275312,7579039.0,否,否,5.2493891
及时性优先,局部组批重排,0,37,能耗,当前模型已证最优,166,88432287902,88432287902.0,是,否,0.3241693
及时性优先,局部组批重排,0,37,架次,当前模型已证最优,166,32,32.0,是,否,0.2143286
及时性优先,局部组批重排,1,38,加权逾期,限时未取得新解,97,,0.0,否,否,4.9969943
及时性优先,局部组批重排,2,39,加权逾期,当前模型已证最优,253,0,0.0,是,是,0.38505310000000004
及时性优先,局部组批重排,2,39,最后返航,可行，未证最优,253,9661375,7011175.0,否,否,6.5147789000000005
及时性优先,局部组批重排,2,39,能耗,可行，未证最优,253,80843282567,79722944683.0,否,否,6.4942605
及时性优先,局部组批重排,2,39,架次,当前模型已证最优,253,30,30.0,是,否,2.0841336
及时性优先,局部组批重排,0,40,加权逾期,可行，未证最优,109,20833020,0.0,否,否,4.9966385
及时性优先,局部组批重排,0,40,最后返航,可行，未证最优,109,9755149,7548045.0,否,否,4.9919338
及时性优先,局部组批重排,0,40,能耗,当前模型已证最优,109,87218145910,87218145910.0,是,否,0.42200770000000004
及时性优先,局部组批重排,0,40,架次,当前模型已证最优,109,32,32.0,是,否,0.1049602
及时性优先,局部组批重排,1,41,加权逾期,可行，未证最优,212,30862540,0.0,否,否,4.9898506000000005
及时性优先,局部组批重排,1,41,最后返航,可行，未证最优,212,9766438,7231000.0,否,否,4.9820075
及时性优先,局部组批重排,1,41,能耗,当前模型已证最优,212,85886965257,85886965257.0,是,否,1.67494
及时性优先,局部组批重排,1,41,架次,当前模型已证最优,212,31,31.0,是,否,0.225579
及时性优先,局部组批重排,2,42,加权逾期,限时未取得新解,225,,0.0,否,否,4.9886931
及时性优先,局部组批重排,0,43,加权逾期,可行，未证最优,219,17741060,0.0,否,否,4.9893494
及时性优先,局部组批重排,0,43,最后返航,可行，未证最优,219,9653252,7799567.0,否,否,4.981601
