方案,阶段,种子,轮次,目标,状态,候选数,当前值（整数单位）,求解器界限（整数单位）,本层条件最优,整个前缀已证最优,用时s
完工时间优先,局部组批重排,1,23,加权逾期,可行，未证最优,83,22791014,1576044.0,否,否,4.9966235
完工时间优先,局部组批重排,1,23,能耗,当前模型已证最优,83,80930002281,80930002281.0,是,否,0.2893558
完工时间优先,局部组批重排,1,23,架次,当前模型已证最优,83,29,29.0,是,否,0.1280695
完工时间优先,局部组批重排,2,24,最后返航,可行，未证最优,147,8504354,6817633.0,否,否,4.9927095
完工时间优先,局部组批重排,2,24,加权逾期,可行，未证最优,147,14805384,1576044.0,否,否,4.9919557
完工时间优先,局部组批重排,2,24,能耗,可行，未证最优,147,78905066021,78394882133.0,否,否,4.970571700000001
完工时间优先,局部组批重排,2,24,架次,当前模型已证最优,147,29,29.0,是,否,0.354876
完工时间优先,局部组批重排,0,25,最后返航,可行，未证最优,114,9394442,6846375.0,否,否,5.0032417
完工时间优先,局部组批重排,0,25,加权逾期,可行，未证最优,114,53658464,0.0,否,否,5.0004274
完工时间优先,局部组批重排,0,25,能耗,当前模型已证最优,114,78749475924,78749475924.0,是,否,1.1503943
完工时间优先,局部组批重排,0,25,架次,当前模型已证最优,114,28,28.0,是,否,0.1349797
完工时间优先,局部组批重排,1,26,最后返航,可行，未证最优,112,8683216,6680914.0,否,否,4.995299
完工时间优先,局部组批重排,1,26,加权逾期,当前模型已证最优,112,0,0.0,是,否,4.6603227
完工时间优先,局部组批重排,1,26,能耗,当前模型已证最优,112,77414551265,77414551265.0,是,否,0.1239389
完工时间优先,局部组批重排,1,26,架次,当前模型已证最优,112,27,27.0,是,否,0.082401
完工时间优先,局部组批重排,2,27,最后返航,可行，未证最优,68,8125734,6973722.0,否,否,5.001355500000001
完工时间优先,局部组批重排,2,27,加权逾期,可行，未证最优,68,4164180,1576044.0,否,否,5.019885700000001
完工时间优先,局部组批重排,2,27,能耗,当前模型已证最优,68,78848097667,78848097667.0,是,否,0.27038480000000004
完工时间优先,局部组批重排,2,27,架次,当前模型已证最优,68,28,28.0,是,否,0.0459506
完工时间优先,局部组批重排,0,28,最后返航,可行，未证最优,109,8877876,7097865.0,否,否,4.9986217
完工时间优先,局部组批重排,0,28,加权逾期,可行，未证最优,109,2283124,1576044.0,否,否,4.992191200000001
完工时间优先,局部组批重排,0,28,能耗,当前模型已证最优,109,78848097667,78848097667.0,是,否,0.4013124
完工时间优先,局部组批重排,0,28,架次,当前模型已证最优,109,28,28.0,是,否,0.07937530000000001
完工时间优先,局部组批重排,1,29,最后返航,当前模型已证最优,65,7528576,7528576.0,是,是,1.3141247
完工时间优先,局部组批重排,1,29,加权逾期,可行，未证最优,65,783576,0.0,否,否,6.226376800000001
完工时间优先,局部组批重排,1,29,能耗,可行，未证最优,65,83189040162,81125002513.0,否,否,6.21954
完工时间优先,局部组批重排,1,29,架次,当前模型已证最优,65,30,30.0,是,否,0.042363700000000004
完工时间优先,局部组批重排,2,30,最后返航,当前模型已证最优,71,7528576,7528576.0,是,是,3.5024254000000004
完工时间优先,局部组批重排,2,30,加权逾期,可行，未证最优,71,60365292,0.0,否,否,5.4944321
完工时间优先,局部组批重排,2,30,能耗,当前模型已证最优,71,81855990634,81855990634.0,是,否,0.0418639
完工时间优先,局部组批重排,2,30,架次,当前模型已证最优,71,29,29.0,是,否,0.0268665
完工时间优先,局部组批重排,0,31,最后返航,可行，未证最优,1132,9994732,7039916.0,否,否,4.9423658
完工时间优先,局部组批重排,0,31,加权逾期,可行，未证最优,1132,47825928,783576.0,否,否,4.871470100000001
完工时间优先,局部组批重排,0,31,能耗,可行，未证最优,1132,86424423623,81616034056.0,否,否,4.5803126
完工时间优先,局部组批重排,0,31,架次,可行，未证最优,1132,32,28.0,否,否,4.7415785
完工时间优先,局部组批重排,1,32,最后返航,可行，未证最优,93,8584162,6900818.0,否,否,4.9981352
完工时间优先,局部组批重排,1,32,加权逾期,当前模型已证最优,93,0,0.0,是,否,4.0984717
完工时间优先,局部组批重排,1,32,能耗,当前模型已证最优,93,79743068298,79743068298.0,是,否,0.37320780000000003
完工时间优先,局部组批重排,1,32,架次,当前模型已证最优,93,29,29.0,是,否,0.09018050000000001
完工时间优先,局部组批重排,2,33,最后返航,可行，未证最优,50,7647155,7514823.0,否,否,5.0055005
完工时间优先,局部组批重排,2,33,加权逾期,可行，未证最优,50,45606192,12.0,否,否,4.9946777
完工时间优先,局部组批重排,2,33,能耗,当前模型已证最优,50,81467559406,81467559406.0,是,否,0.1710477
完工时间优先,局部组批重排,2,33,架次,当前模型已证最优,50,29,29.0,是,否,0.020181900000000003
完工时间优先,局部组批重排,0,34,最后返航,可行，未证最优,99,8122114,7115615.0,否,否,4.9963292
完工时间优先,局部组批重排,0,34,加权逾期,当前模型已证最优,99,0,0.0,是,否,3.6848721
完工时间优先,局部组批重排,0,34,能耗,当前模型已证最优,99,80242537659,80242537659.0,是,否,0.9686555000000001
完工时间优先,局部组批重排,0,34,架次,当前模型已证最优,99,29,29.0,是,否,0.07698740000000001
完工时间优先,局部组批重排,1,35,最后返航,可行，未证最优,104,7923926,7071008.0,否,否,4.9965016
完工时间优先,局部组批重排,1,35,加权逾期,可行，未证最优,104,2737346,0.0,否,否,4.9993591
完工时间优先,局部组批重排,1,35,能耗,可行，未证最优,104,82719682011,82622904927.0,否,否,4.9827408
完工时间优先,局部组批重排,1,35,架次,当前模型已证最优,104,30,30.0,是,否,0.212593
完工时间优先,局部组批重排,2,36,最后返航,当前模型已证最优,42,7528576,7528576.0,是,是,1.1903977000000001
完工时间优先,局部组批重排,2,36,加权逾期,当前模型已证最优,42,8602152,8602152.0,是,是,0.0328112
完工时间优先,局部组批重排,2,36,能耗,当前模型已证最优,42,83117046799,83117046799.0,是,是,0.0203102
完工时间优先,局部组批重排,2,36,架次,当前模型已证最优,42,29,29.0,是,是,0.0224607
完工时间优先,局部组批重排,0,37,最后返航,可行，未证最优,125,8426247,7157199.0,否,否,4.995564900000001
完工时间优先,局部组批重排,0,37,加权逾期,可行，未证最优,125,32542742,783576.0,否,否,4.9927929
完工时间优先,局部组批重排,0,37,能耗,可行，未证最优,125,86296421602,79020561053.0,否,否,4.9844714
完工时间优先,局部组批重排,0,37,架次,当前模型已证最优,125,31,31.0,是,否,0.7541335
完工时间优先,局部组批重排,1,38,最后返航,可行，未证最优,79,8306787,7460228.0,否,否,4.9995193
完工时间优先,局部组批重排,1,38,加权逾期,可行，未证最优,79,61968966,0.0,否,否,4.9949051
完工时间优先,局部组批重排,1,38,能耗,当前模型已证最优,79,82869657671,82869657671.0,是,否,0.071246
完工时间优先,局部组批重排,1,38,架次,当前模型已证最优,79,30,30.0,是,否,0.0350086
完工时间优先,局部组批重排,2,39,最后返航,可行，未证最优,113,7719918,7460228.0,否,否,4.7933268
完工时间优先,局部组批重排,2,39,加权逾期,可行，未证最优,113,783576,0.0,否,否,4.7872323
完工时间优先,局部组批重排,2,39,能耗,当前模型已证最优,113,80875257203,80875257203.0,是,否,2.1874885
完工时间优先,局部组批重排,2,39,架次,当前模型已证最优,113,29,29.0,是,否,0.050660300000000005
完工时间优先,局部组批重排,0,40,最后返航,可行，未证最优,130,8533371,6571616.0,否,否,1.7970568
完工时间优先,局部组批重排,0,40,加权逾期,可行，未证最优,130,13111486,783576.0,否,否,1.7945558000000001
完工时间优先,局部组批重排,0,40,能耗,当前模型已证最优,130,77403848435,77403848435.0,是,否,0.6609088000000001
完工时间优先,局部组批重排,0,40,架次,当前模型已证最优,130,29,29.0,是,否,0.12170520000000001
完工时间优先,局部组批重排,1,41,最后返航,可行，未证最优,153,9571985,7015412.0,否,否,0.6550062000000001
完工时间优先,局部组批重排,1,41,加权逾期,可行，未证最优,153,151718824,0.0,否,否,0.6507319
完工时间优先,局部组批重排,1,41,能耗,可行，未证最优,153,99539929889,80286365652.0,否,否,0.6436705
完工时间优先,局部组批重排,1,41,架次,可行，未证最优,153,36,29.0,否,否,0.6291158
能耗优先,局部组批重排,0,1,能耗,当前模型已证最优,221,73328307392,73328307392.0,是,是,4.197054700000001
能耗优先,局部组批重排,0,1,加权逾期,当前模型已证最优,221,783576,783576.0,是,是,4.4183825
能耗优先,局部组批重排,0,1,最后返航,可行，未证最优,221,9231625,8546432.0,否,否,5.640942600000001
能耗优先,局部组批重排,0,1,架次,当前模型已证最优,221,27,27.0,是,否,0.3175582
能耗优先,局部组批重排,1,2,能耗,限时未取得新解,349,,72991049422.0,否,否,4.979060700000001
能耗优先,局部组批重排,2,3,能耗,当前模型已证最优,69,73486885847,73486885847.0,是,是,0.1000655
能耗优先,局部组批重排,2,3,加权逾期,可行，未证最优,69,1627806,783576.0,否,否,6.6280467000000005
能耗优先,局部组批重排,2,3,最后返航,可行，未证最优,69,9339903,7192127.0,否,否,6.6280266
能耗优先,局部组批重排,2,3,架次,当前模型已证最优,69,27,27.0,是,否,0.056929900000000005
能耗优先,局部组批重排,0,4,能耗,当前模型已证最优,107,73228451595,73228451595.0,是,是,0.447983
能耗优先,局部组批重排,0,4,加权逾期,可行，未证最优,107,167413040,783576.0,否,否,6.508436700000001
能耗优先,局部组批重排,0,4,最后返航,可行，未证最优,107,11469832,6678271.0,否,否,6.5041852
能耗优先,局部组批重排,0,4,架次,当前模型已证最优,107,28,28.0,是,否,0.21408280000000002
能耗优先,局部组批重排,1,5,能耗,当前模型已证最优,70,73331966816,73331966816.0,是,是,0.1427343
能耗优先,局部组批重排,1,5,加权逾期,可行，未证最优,70,133404584,783576.0,否,否,6.6352932000000004
能耗优先,局部组批重排,1,5,最后返航,可行，未证最优,70,11068778,10751059.0,否,否,6.5990991
能耗优先,局部组批重排,1,5,架次,当前模型已证最优,70,28,28.0,是,否,0.05150660000000001
能耗优先,局部组批重排,2,6,能耗,当前模型已证最优,108,72628159681,72628159681.0,是,是,2.1152224
能耗优先,局部组批重排,2,6,加权逾期,可行，未证最优,108,154897252,783576.0,否,否,5.955367900000001
能耗优先,局部组批重排,2,6,最后返航,可行，未证最优,108,11943038,6552570.0,否,否,5.9455321
能耗优先,局部组批重排,2,6,架次,当前模型已证最优,108,27,27.0,是,否,0.24992750000000002
能耗优先,局部组批重排,0,7,能耗,当前模型已证最优,78,72629974828,72629974828.0,是,是,0.2943624
能耗优先,局部组批重排,0,7,加权逾期,可行，未证最优,78,44057566,783576.0,否,否,6.5612960000000005
能耗优先,局部组批重排,0,7,最后返航,可行，未证最优,78,9840419,9072761.0,否,否,6.551327100000001
能耗优先,局部组批重排,0,7,架次,当前模型已证最优,78,26,26.0,是,否,0.0754496
能耗优先,局部组批重排,1,8,能耗,当前模型已证最优,116,71657930917,71657930917.0,是,是,0.5130279
能耗优先,局部组批重排,1,8,加权逾期,可行，未证最优,116,239589840,783576.0,否,否,6.485776700000001
能耗优先,局部组批重排,1,8,最后返航,可行，未证最优,116,12852749,6687519.0,否,否,6.4804906
能耗优先,局部组批重排,1,8,架次,当前模型已证最优,116,27,27.0,是,否,0.6244375000000001
能耗优先,局部组批重排,2,9,能耗,当前模型已证最优,61,69820192547,69820192547.0,是,是,0.0501937
能耗优先,局部组批重排,2,9,加权逾期,可行，未证最优,61,234734876,1621246.0,否,否,6.6539434
能耗优先,局部组批重排,2,9,最后返航,可行，未证最优,61,12927617,12071008.0,否,否,6.637508700000001
能耗优先,局部组批重排,2,9,架次,当前模型已证最优,61,26,26.0,是,否,0.0400317
能耗优先,局部组批重排,0,10,能耗,当前模型已证最优,100,68017952925,68017952925.0,是,是,0.7320717
能耗优先,局部组批重排,0,10,加权逾期,可行，未证最优,100,234563948,0.0,否,否,6.415812000000001
能耗优先,局部组批重排,0,10,最后返航,可行，未证最优,100,13554677,10148530.0,否,否,6.4096986000000005
能耗优先,局部组批重排,0,10,架次,当前模型已证最优,100,25,25.0,是,否,0.2897695
能耗优先,局部组批重排,1,11,能耗,可行，未证最优,264,69702064253,68017952925.0,否,否,4.9853358000000005
能耗优先,局部组批重排,1,11,加权逾期,可行，未证最优,264,205516122,0.0,否,否,4.9709232000000005
能耗优先,局部组批重排,1,11,最后返航,可行，未证最优,264,13091299,9921325.0,否,否,4.9505846
能耗优先,局部组批重排,1,11,架次,当前模型已证最优,264,25,25.0,是,否,0.4000985
能耗优先,局部组批重排,2,12,能耗,可行，未证最优,109,69153479997,69091723433.0,否,否,4.9976045000000004
能耗优先,局部组批重排,2,12,加权逾期,可行，未证最优,109,107245204,0.0,否,否,4.9931998
能耗优先,局部组批重排,2,12,最后返航,可行，未证最优,109,11647483,10687781.0,否,否,4.982942100000001
能耗优先,局部组批重排,2,12,架次,当前模型已证最优,109,24,24.0,是,否,0.0811279
能耗优先,局部组批重排,0,13,能耗,当前模型已证最优,47,66011478131,66011478131.0,是,是,0.040506900000000005
能耗优先,局部组批重排,0,13,加权逾期,可行，未证最优,47,103539030,0.0,否,否,6.6544986
能耗优先,局部组批重排,0,13,最后返航,可行，未证最优,47,10189060,10018837.0,否,否,6.6518189
能耗优先,局部组批重排,0,13,架次,当前模型已证最优,47,22,22.0,是,否,0.025810000000000003
能耗优先,局部组批重排,1,14,能耗,当前模型已证最优,195,66359753357,66359753357.0,是,是,4.6150717000000006
能耗优先,局部组批重排,1,14,加权逾期,可行，未证最优,195,162362654,0.0,否,否,5.1050306
能耗优先,局部组批重排,1,14,最后返航,可行，未证最优,195,11278236,10563390.0,否,否,5.0893359
能耗优先,局部组批重排,1,14,架次,当前模型已证最优,195,23,23.0,是,否,0.33678830000000004
能耗优先,局部组批重排,2,15,能耗,当前模型已证最优,85,66137147950,66137147950.0,是,是,0.1335252
能耗优先,局部组批重排,2,15,加权逾期,可行，未证最优,85,187058720,0.0,否,否,6.6179047
能耗优先,局部组批重排,2,15,最后返航,可行，未证最优,85,11902014,9899755.0,否,否,6.607797000000001
能耗优先,局部组批重排,2,15,架次,当前模型已证最优,85,23,23.0,是,否,0.10184130000000001
能耗优先,局部组批重排,0,16,能耗,当前模型已证最优,154,65660283092,65660283092.0,是,是,0.4091034
能耗优先,局部组批重排,0,16,加权逾期,可行，未证最优,154,101787312,0.0,否,否,6.5160209
能耗优先,局部组批重排,0,16,最后返航,可行，未证最优,154,11166281,7087464.0,否,否,6.5078259
能耗优先,局部组批重排,0,16,架次,当前模型已证最优,154,23,23.0,是,否,0.1407717
能耗优先,局部组批重排,1,17,能耗,当前模型已证最优,197,65882888499,65882888499.0,是,是,2.8406641
能耗优先,局部组批重排,1,17,加权逾期,可行，未证最优,197,42746000,0.0,否,否,5.7029449
能耗优先,局部组批重排,1,17,最后返航,可行，未证最优,197,11189229,6686018.0,否,否,5.6882393
能耗优先,局部组批重排,1,17,架次,当前模型已证最优,197,23,23.0,是,否,0.2708707
能耗优先,局部组批重排,2,18,能耗,可行，未证最优,248,67545106550,65370370738.0,否,否,4.9862637
能耗优先,局部组批重排,2,18,加权逾期,可行，未证最优,248,42746000,0.0,否,否,4.974062900000001
能耗优先,局部组批重排,2,18,最后返航,可行，未证最优,248,11189229,6597748.0,否,否,4.9558144
能耗优先,局部组批重排,2,18,架次,可行，未证最优,248,24,21.0,否,否,4.9229209
能耗优先,局部组批重排,0,19,能耗,当前模型已证最优,109,65700508130,65700508130.0,是,是,2.6915407
能耗优先,局部组批重排,0,19,加权逾期,可行，未证最优,109,22510820,0.0,否,否,5.7591568
能耗优先,局部组批重排,0,19,最后返航,可行，未证最优,109,9984305,6861442.0,否,否,5.752218500000001
能耗优先,局部组批重排,0,19,架次,当前模型已证最优,109,22,22.0,是,否,0.10934050000000001
能耗优先,局部组批重排,1,20,能耗,当前模型已证最优,146,65953630756,65953630756.0,是,是,1.8543555
能耗优先,局部组批重排,1,20,加权逾期,可行，未证最优,146,60427636,0.0,否,否,6.0352147
能耗优先,局部组批重排,1,20,最后返航,可行，未证最优,146,9934831,7947783.0,否,否,6.0163646
能耗优先,局部组批重排,1,20,架次,当前模型已证最优,146,22,22.0,是,否,0.18848310000000001
能耗优先,局部组批重排,2,21,能耗,可行，未证最优,123,65982997960,65153036503.0,否,否,4.9960169
能耗优先,局部组批重排,2,21,加权逾期,可行，未证最优,123,195453174,0.0,否,否,4.993039700000001
能耗优先,局部组批重排,2,21,最后返航,可行，未证最优,123,10902269,7050757.0,否,否,4.984477200000001
能耗优先,局部组批重排,2,21,架次,当前模型已证最优,123,23,23.0,是,否,0.158064
能耗优先,局部组批重排,0,22,能耗,当前模型已证最优,215,65953630756,65953630756.0,是,是,3.1854751
能耗优先,局部组批重排,0,22,加权逾期,可行，未证最优,215,22510820,0.0,否,否,5.5808535
能耗优先,局部组批重排,0,22,最后返航,可行，未证最优,215,9614267,9492918.0,否,否,5.5659669
能耗优先,局部组批重排,0,22,架次,当前模型已证最优,215,22,22.0,是,否,0.259044
能耗优先,局部组批重排,1,23,能耗,可行，未证最优,197,65953630756,65708244840.0,否,否,4.9925781
能耗优先,局部组批重排,1,23,加权逾期,可行，未证最优,197,36780020,0.0,否,否,4.9891705
能耗优先,局部组批重排,1,23,最后返航,可行，未证最优,197,9977296,7653141.0,否,否,4.9694424
能耗优先,局部组批重排,1,23,架次,当前模型已证最优,197,22,22.0,是,否,0.2036088
能耗优先,局部组批重排,2,24,能耗,当前模型已证最优,108,64683868440,64683868440.0,是,是,0.09528400000000001
能耗优先,局部组批重排,2,24,加权逾期,可行，未证最优,108,109061192,0.0,否,否,6.6267655
能耗优先,局部组批重排,2,24,最后返航,可行，未证最优,108,10964472,10326151.0,否,否,6.6187781
能耗优先,局部组批重排,2,24,架次,当前模型已证最优,108,21,21.0,是,否,0.11708930000000001
能耗优先,局部组批重排,0,25,能耗,当前模型已证最优,76,64682053293,64682053293.0,是,是,0.06517060000000001
能耗优先,局部组批重排,0,25,加权逾期,可行，未证最优,76,298897264,0.0,否,否,6.643466200000001
能耗优先,局部组批重排,0,25,最后返航,可行，未证最优,76,13139545,8469949.0,否,否,6.6276326
能耗优先,局部组批重排,0,25,架次,当前模型已证最优,76,22,22.0,是,否,0.07815870000000001
能耗优先,局部组批重排,1,26,能耗,当前模型已证最优,110,64683868440,64683868440.0,是,是,0.1438372
能耗优先,局部组批重排,1,26,加权逾期,可行，未证最优,110,144214014,0.0,否,否,6.6110651
能耗优先,局部组批重排,1,26,最后返航,可行，未证最优,110,10862091,10326151.0,否,否,6.603395300000001
能耗优先,局部组批重排,1,26,架次,当前模型已证最优,110,21,21.0,是,否,0.09911400000000001
能耗优先,局部组批重排,2,27,能耗,当前模型已证最优,263,64428930667,64428930667.0,是,是,4.7958543
能耗优先,局部组批重排,2,27,加权逾期,可行，未证最优,263,415491402,0.0,否,否,5.036747
能耗优先,局部组批重排,2,27,最后返航,可行，未证最优,263,14658128,6653078.0,否,否,5.0221420000000006
能耗优先,局部组批重排,2,27,架次,可行，未证最优,263,22,20.0,否,否,4.993793800000001
能耗优先,局部组批重排,0,28,能耗,可行，未证最优,92,64711420497,64274667010.0,否,否,4.9968255
能耗优先,局部组批重排,0,28,加权逾期,可行，未证最优,92,456912102,0.0,否,否,4.9975193
能耗优先,局部组批重排,0,28,最后返航,可行，未证最优,92,13774052,12977366.0,否,否,4.9783894
能耗优先,局部组批重排,0,28,架次,当前模型已证最优,92,23,23.0,是,否,0.0874752
能耗优先,局部组批重排,1,29,能耗,当前模型已证最优,149,65083346962,65083346962.0,是,是,0.4776947
能耗优先,局部组批重排,1,29,加权逾期,可行，未证最优,149,581364682,0.0,否,否,6.4980348
能耗优先,局部组批重排,1,29,最后返航,可行，未证最优,149,14442084,12977366.0,否,否,6.4819316
能耗优先,局部组批重排,1,29,架次,当前模型已证最优,149,23,23.0,是,否,0.29658640000000003
能耗优先,局部组批重排,2,30,能耗,当前模型已证最优,81,64950940819,64950940819.0,是,是,0.16908
能耗优先,局部组批重排,2,30,加权逾期,可行，未证最优,81,258331960,0.0,否,否,6.6033119000000005
能耗优先,局部组批重排,2,30,最后返航,可行，未证最优,81,12012509,7780214.0,否,否,6.5968742
能耗优先,局部组批重排,2,30,架次,当前模型已证最优,81,21,21.0,是,否,0.043261400000000005
能耗优先,局部组批重排,0,31,能耗,当前模型已证最优,224,64526313255,64526313255.0,是,是,4.1036636
能耗优先,局部组批重排,0,31,加权逾期,可行，未证最优,224,157777694,0.0,否,否,5.2875567000000006
能耗优先,局部组批重排,0,31,最后返航,可行，未证最优,224,11251928,10500970.0,否,否,5.2483392
能耗优先,局部组批重排,0,31,架次,当前模型已证最优,224,21,21.0,是,否,1.9860088
能耗优先,局部组批重排,1,32,能耗,当前模型已证最优,172,64271144400,64271144400.0,是,是,0.3687865
能耗优先,局部组批重排,1,32,加权逾期,可行，未证最优,172,130587624,0.0,否,否,6.530026400000001
能耗优先,局部组批重排,1,32,最后返航,可行，未证最优,172,11251928,6468607.0,否,否,6.521614700000001
能耗优先,局部组批重排,1,32,架次,当前模型已证最优,172,21,21.0,是,否,0.4416063
能耗优先,局部组批重排,2,33,能耗,当前模型已证最优,90,64471559476,64471559476.0,是,是,0.9473142000000001
能耗优先,局部组批重排,2,33,加权逾期,可行，未证最优,90,173050614,0.0,否,否,5.6434828
能耗优先,局部组批重排,2,33,最后返航,可行，未证最优,90,11281929,8208723.0,否,否,5.6278759
能耗优先,局部组批重排,2,33,架次,当前模型已证最优,90,21,21.0,是,否,0.10330360000000001
能耗优先,局部组批重排,0,34,能耗,当前模型已证最优,186,64108628518,64108628518.0,是,是,0.3157682
能耗优先,局部组批重排,0,34,加权逾期,可行，未证最优,186,226820554,0.0,否,否,1.6640118000000002
能耗优先,局部组批重排,0,34,最后返航,可行，未证最优,186,11686612,6811792.0,否,否,1.6498297000000002
能耗优先,局部组批重排,0,34,架次,当前模型已证最优,186,21,21.0,是,否,0.3687398
能耗优先,局部组批重排,1,35,能耗,当前模型已证最优,93,63963871831,63963871831.0,是,是,0.1340647
能耗优先,局部组批重排,1,35,加权逾期,可行，未证最优,93,313216108,0.0,否,否,0.33130550000000003
能耗优先,局部组批重排,1,35,最后返航,可行，未证最优,93,11510383,8209720.0,否,否,0.3257896
能耗优先,局部组批重排,1,35,架次,当前模型已证最优,93,21,21.0,是,否,0.1682448
能耗优先,局部组批重排,2,36,能耗,限时未取得新解,64,,0.0,否,否,0.0165236
架次优先,局部组批重排,0,1,架次,当前模型已证最优,196,20,20.0,是,是,3.7416582000000003
架次优先,局部组批重排,0,1,加权逾期,可行，未证最优,196,97386038,0.0,否,否,5.3988854
架次优先,局部组批重排,0,1,最后返航,可行，未证最优,196,10032725,8679502.0,否,否,5.3848615
架次优先,局部组批重排,0,1,能耗,当前模型已证最优,196,65664710644,65664710644.0,是,否,0.8841089000000001
架次优先,局部组批重排,1,2,架次,当前模型已证最优,58,21,21.0,是,是,0.063067
架次优先,局部组批重排,1,2,加权逾期,可行，未证最优,58,70278266,65120762.0,否,否,6.6454447000000005
架次优先,局部组批重排,1,2,最后返航,当前模型已证最优,58,9265722,9265722.0,是,否,0.058242
架次优先,局部组批重排,1,2,能耗,当前模型已证最优,58,66820581326,66820581326.0,是,否,12.947763400000001
架次优先,局部组批重排,2,3,架次,当前模型已证最优,178,20,20.0,是,是,3.526059
架次优先,局部组批重排,2,3,加权逾期,可行，未证最优,178,78232554,0.0,否,否,5.469628500000001
架次优先,局部组批重排,2,3,最后返航,当前模型已证最优,178,9265722,9265722.0,是,否,3.7333019000000003
架次优先,局部组批重排,2,3,能耗,当前模型已证最优,178,66099862694,66099862694.0,是,否,0.2939468
架次优先,局部组批重排,0,4,架次,可行，未证最优,274,24,18.0,否,否,4.9873234
架次优先,局部组批重排,0,4,加权逾期,可行，未证最优,274,262330828,0.0,否,否,4.9701449
架次优先,局部组批重排,0,4,最后返航,可行，未证最优,274,11017706,7602479.0,否,否,4.950768500000001
架次优先,局部组批重排,0,4,能耗,可行，未证最优,274,74782733127,66999731751.0,否,否,4.9179559
架次优先,局部组批重排,1,5,架次,可行，未证最优,225,21,19.0,否,否,4.9869707000000005
架次优先,局部组批重排,1,5,加权逾期,可行，未证最优,225,78232422,0.0,否,否,4.9791586
架次优先,局部组批重排,1,5,最后返航,可行，未证最优,225,9265722,8605869.0,否,否,4.9622396
架次优先,局部组批重排,1,5,能耗,可行，未证最优,225,66118999155,65956518584.0,否,否,4.9253653
架次优先,局部组批重排,2,6,架次,可行，未证最优,516,23,20.0,否,否,5.2312857
架次优先,局部组批重排,2,6,加权逾期,可行，未证最优,516,78232422,12.0,否,否,4.959050400000001
架次优先,局部组批重排,2,6,最后返航,可行，未证最优,516,9260980,8361944.0,否,否,4.9638904
架次优先,局部组批重排,2,6,能耗,可行，未证最优,516,68290677613,67748473788.0,否,否,4.3392418
架次优先,局部组批重排,0,7,架次,当前模型已证最优,165,20,20.0,是,是,0.5708904
架次优先,局部组批重排,0,7,加权逾期,可行，未证最优,165,78144950,65120762.0,否,否,6.4576829
架次优先,局部组批重排,0,7,最后返航,当前模型已证最优,165,9265722,9265722.0,是,否,1.8178280000000002
架次优先,局部组批重排,0,7,能耗,当前模型已证最优,165,65664710644,65664710644.0,是,否,0.2276247
架次优先,局部组批重排,1,8,架次,当前模型已证最优,194,20,20.0,是,是,4.1733986000000005
架次优先,局部组批重排,1,8,加权逾期,可行，未证最优,194,155822102,63973066.0,否,否,5.2495233
架次优先,局部组批重排,1,8,最后返航,可行，未证最优,194,11150648,8877910.0,否,否,5.2377959
架次优先,局部组批重排,1,8,能耗,当前模型已证最优,194,65917833270,65917833270.0,是,否,1.8785445
架次优先,局部组批重排,2,9,架次,当前模型已证最优,61,20,20.0,是,是,0.1089601
架次优先,局部组批重排,2,9,加权逾期,可行，未证最优,61,60547406,59399710.0,否,否,6.6253384
架次优先,局部组批重排,2,9,最后返航,当前模型已证最优,61,9265722,9265722.0,是,否,0.0752476
架次优先,局部组批重排,2,9,能耗,可行，未证最优,61,65103125314,64880519907.0,否,否,13.157587300000001
架次优先,局部组批重排,0,10,架次,可行，未证最优,309,21,19.0,否,否,4.984832
架次优先,局部组批重排,0,10,加权逾期,可行，未证最优,309,60547406,0.0,否,否,4.9700195
架次优先,局部组批重排,0,10,最后返航,可行，未证最优,309,9237090,8145206.0,否,否,4.9493228
架次优先,局部组批重排,0,10,能耗,可行，未证最优,309,66480428931,65390588394.0,否,否,4.906006700000001
架次优先,局部组批重排,1,11,架次,当前模型已证最优,76,21,21.0,是,是,0.099696
架次优先,局部组批重排,1,11,加权逾期,可行，未证最优,76,242559610,3213180.0,否,否,6.626066600000001
架次优先,局部组批重排,1,11,最后返航,当前模型已证最优,76,10600518,10600518.0,是,否,3.7429343000000004
架次优先,局部组批重排,1,11,能耗,当前模型已证最优,76,68441814622,68441814622.0,是,否,0.5983129
架次优先,局部组批重排,2,12,架次,可行，未证最优,237,26,20.0,否,否,4.9864804000000005
架次优先,局部组批重排,2,12,加权逾期,可行，未证最优,237,151657202,0.0,否,否,4.9773326
架次优先,局部组批重排,2,12,最后返航,可行，未证最优,237,10047728,7181630.0,否,否,4.946664800000001
架次优先,局部组批重排,2,12,能耗,可行，未证最优,237,77671899767,70021082215.0,否,否,4.9029112
架次优先,局部组批重排,0,13,架次,可行，未证最优,132,21,20.0,否,否,4.993617700000001
架次优先,局部组批重排,0,13,加权逾期,可行，未证最优,132,81353706,0.0,否,否,4.988329
架次优先,局部组批重排,0,13,最后返航,可行，未证最优,132,10995842,6673207.0,否,否,4.979348300000001
架次优先,局部组批重排,0,13,能耗,可行，未证最优,132,68592953688,65701486278.0,否,否,4.9623147
架次优先,局部组批重排,1,14,架次,当前模型已证最优,265,21,21.0,是,是,1.4214791
架次优先,局部组批重排,1,14,加权逾期,可行，未证最优,265,60547406,59399710.0,否,否,6.1621649000000005
架次优先,局部组批重排,1,14,最后返航,可行，未证最优,265,10398641,8973445.0,否,否,6.1417961000000005
